SMILES Name NAME_Match
C=C(Cl)CCCS(=O)(=O)c1nc2c(N)ncnc2[nH]1 PV-003247347578 Adenine-Sulfone
C=CCS(=O)(=O)CCNc1ncnc2c1ncn2C(C)C Z5533812083 Adenine-Sulfone
C=CCS(=O)(=O)CCNc1ncnc2c1ncn2C1CC1 Z2212431593 Adenine-Sulfone
CC(C)(C)C(CS(C)(=O)=O)Nc1nc(F)nc2[nH]cnc12 PV-007072294836 Adenine-Sulfone
CC(C)(C)S(=O)(=O)CCCNc1nc(F)nc2[nH]cnc12 PV-006823633505 Adenine-Sulfone
CC(C)(C)S(=O)(=O)CCNc1nc(F)nc2[nH]cnc12 PV-007066262719 Adenine-Sulfone
CC(C)(CCNc1nc(F)nc2[nH]cnc12)S(C)(=O)=O PV-006981706729 Adenine-Sulfone
CC(C)(CCS(C)(=O)=O)Nc1nc(F)nc2[nH]cnc12 PV-006859528034 Adenine-Sulfone
CC(C)(CNc1ncnc2[nH]c(C(F)F)nc12)S(C)(=O)=O PV-003473247247 Adenine-Sulfone
CC(C)(CNc1ncnc2c1ncn2C1CC1)S(C)(=O)=O Z2212413975 Adenine-Sulfone
CC(C)(Nc1ncnc2[nH]cnc12)C1CCS(=O)(=O)CC1 PV-004446925895 Adenine-Sulfone
CC(C)C[C@@H](CS(C)(=O)=O)Nc1nc(F)nc2[nH]cnc12 PV-006903259206 Adenine-Sulfone
CC(C)C[C@@H](CS(C)(=O)=O)Nc1ncnc2c1ncn2C Z3395740196 Adenine-Sulfone
CC(C)C[C@H](CS(C)(=O)=O)Nc1nc(F)nc2[nH]cnc12 PV-006903259205 Adenine-Sulfone
CC(C)C[C@H](CS(C)(=O)=O)Nc1ncnc2c1ncn2C Z3395718540 Adenine-Sulfone
CC(C)S(=O)(=O)C1CCN(c2ncnc3[nH]cnc23)CC1 Z1577058420 Adenine-Sulfone
CC(C)S(=O)(=O)CCNc1ncnc2[nH]c(C(F)F)nc12 PV-003079162742 Adenine-Sulfone
CC(C)S(=O)(=O)CCNc1ncnc2c1ncn2C1CC1 Z2212450832 Adenine-Sulfone
CC(C)n1cnc2c(N(C)CCCS(C)(=O)=O)ncnc21 Z5533797306 Adenine-Sulfone
CC(C)n1cnc2c(N3CCC(S(C)(=O)=O)C3)ncnc21 Z5533838337 Adenine-Sulfone
CC(C)n1cnc2c(N3CCCS(=O)(=O)CC3)ncnc21 Z5533746882 Adenine-Sulfone
